Công ty cổ phần Dược phẩm Hải Phòng,DPH
Công ty Cổ phần Sữa Hà Nội,HNM
Công ty Cổ phần Quản lý Quỹ VinaCapital,FUEVN100
Công ty Cổ phần Công nghệ Thông tin + Viễn thông và Tự động hóa Dầu Khí,PAI
Công ty  cổ phần Đồng Tân,D17
Công ty cổ phần Kosy,KOS
Công ty Cổ phần Sách và Thiết bị giáo dục miền Bắc,NBE
Công ty Cổ phần Sông Đà 19 ,SJM
Công ty cổ phần Công trình công cộng và dịch vụ du lịch Hải Phòng,CDH
Công ty Cổ phần Cấp nước Nhà Bè,NBW
Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,MTA
Công ty Cổ phần Điện Cơ Hải Phòng,DHP
Công ty Cổ phần Bia Sài Gòn - Hà Nội,BSH
Công ty cổ phần Tư vấn Đầu tư Mỏ và Công nghiệp - Vinacomin,TVM
Công ty cổ phần Nhựa An Phát Xanh,AAA
CTCP Petro Times,PPT
Công ty Cổ phần Đầu tư Xây dựng số 5,CI5
Công ty cổ phần Vimarko,VMK
Công ty Cổ phần Bao bì Đạm Phú Mỹ,PMP
Công ty cổ phần Sonadezi Châu Đức,SZC
Công ty cổ phần Hóa phẩm Dầu khí DMC-Miền Nam,DMS
Công ty cổ phần Xây dựng và Đầu tư Visicons,VC6
Công ty Cổ phần Bọc Ống Dầu khí Việt Nam ,PVB
Công ty Cổ phần Bia Hà Nội - Quảng Bình,BQB
Công ty Cổ phần Sông Đà - Thăng Long,STL
Công ty Cổ phần Vinavico ,CTA
Công ty Cổ phần sách và thiết bị giáo dục miền Nam ,SMN
Công ty Cổ phần Tập đoàn Tiến Bộ,TTB
Công ty Cổ phần Chứng khoán Sài Gòn Hà Nội ,SHS
Công ty cổ phần Vinhomes,VHM
Công ty Cổ phần đầu tư và phát triển Nhà số 6 Hà Nội,HD6
Công ty Cổ phần Đầu tư ICAPITAL,PTC
Công ty Cổ phần đầu tư Năm Bảy Bảy,NBB
Công ty Cổ phần Đầu tư LDG ,LDG
Tổng Công ty Cổ phần Đường sông Miền Nam ,SWC
Tổng công ty Khoáng sản TKV - CTCP,KSV
Công ty Cổ phần công nghệ cao Traphaco,CNC
Công ty Cổ phần Đầu tư PV-Inconess,RGC
Công ty Cổ phần Habeco - Hải Phòng,HBH
Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn,SQC
Công ty Cổ phần Đầu tư và Thương mại Vũ Đăng,SVD
Công ty Cổ phần chế tạo máy - VINACOMIN,CTT
Công ty Cổ phần Thành Thành Công - Biên Hòa,SBT
Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,YTC
Công ty Cổ phần Vinafco,VFC
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,PVS
Công ty Cổ phần Hồng Hà Việt Nam ,PHH
Công ty Cổ phần Đầu tư Nam Long,NLG
Công ty Cổ phần Dịch vụ du lịch Mỹ Trà,MTC
Công ty Cổ phần Tập đoàn Thành Nam,TNI
CÔNG TY CỔ PHẦN GIỐNG BÒ SỮA MỘC CHÂU,MCM
Công ty Cổ phần Sông Đà 2,SD2
Công ty Cổ phần Đầu tư và Xây dựng công trình 3,CT3
Công ty Cổ phần Chứng khoán phố Wall,WSS
Công ty Cổ phần Nhựa Hà Nội,NHH
Công ty Cổ phần Chứng Khoán Thiên Việt,TVS
CÔNG TY CỔ PHẦN GIAO NHẬN VẬN TẢI MIỀN TRUNG,VMT
Công ty cổ phần Chế tạo Giàn khoan Dầu khí,PVY
Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,KSB
Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD
CÔNG TY CỔ PHẦN CHỨNG KHOÁN VIX,VIX
Công ty Cổ phần Nước sạch số 2 Hà Nội,NS2
Công ty Cổ phần Thủy điện Sông Ba Hạ,SBH
Công ty Cổ phần sản xuất xuất nhập khẩu NHP,NHP
Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,DAS
Công ty Cổ phần Xuất nhập khẩu Hàng không,ARM
Công ty cổ phần Bất động sản và Đầu tư VRC,VRC
Công ty cổ phần Bia Sài Gòn - Bạc Liêu,SBL
Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HCD
Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,JVC
Công ty Cổ phần Đầu tư - Kinh doanh nhà,ITC
Công ty Cổ phần Trang trí nội thất Dầu khí ,PID
Công ty cổ phần thủy điện Xuân Minh,XMP
Công ty cổ phần Dịch vụ Trực tuyến FPT,FOC
Công ty Cổ phần Bê tông Hòa Cẩm - Intimex,HCC
Công ty Cổ phần Công nghệ Mạng và Truyền thông,CMT
Công ty cổ phần Thực phẩm Hà Nội,HAF
